#{"t_start": 1625513319.588384, "env_id": "HalfCheetahBulletEnv-v0"}
r,l,t
-1181.007201,1000,1.738737
-1331.780166,1000,3.386198
-1315.250235,1000,5.058883
-1189.669487,1000,6.690476
-1111.401745,1000,8.369984
-1390.78232,1000,9.997799
-1331.715029,1000,11.618712
-1331.560737,1000,13.231954
-1410.964577,1000,14.837172
-1279.624824,1000,16.413538
-1272.008438,1000,53.224202
-1368.620309,1000,81.683444
-866.128318,1000,110.138462
-752.529286,1000,137.454841
-1317.144534,1000,166.742388
-898.032345,1000,194.248132
-597.334545,1000,223.351179
-168.631162,1000,251.566135
9.968207,1000,278.19224
-71.947099,1000,305.250469
50.356685,1000,343.327633
460.398579,1000,369.918931
109.076032,1000,398.551358
500.97979,1000,425.287721
464.26243,1000,453.726524
478.063695,1000,481.892407
285.005345,1000,508.434106
360.700225,1000,536.616759
186.738176,1000,564.699836
608.59252,1000,591.293607
625.486351,1000,628.349283
615.619029,1000,654.91613
526.106666,1000,683.059597
492.779489,1000,711.208218
601.320744,1000,737.712913
14.98155,1000,765.906488
337.18023,1000,794.509116
470.511892,1000,821.543077
445.92798,1000,849.633905
601.022516,1000,876.188935
574.416271,1000,913.441919
137.671198,1000,941.591733
531.564367,1000,968.125635
138.025341,1000,996.267495
510.061386,1000,1024.383968
631.943416,1000,1050.959898
689.487875,1000,1079.066147
487.254882,1000,1105.577716
410.465626,1000,1133.725851
631.698114,1000,1162.367333
567.634928,1000,1199.332185
598.53702,1000,1226.69842
422.513678,1000,1254.81557
625.709084,1000,1281.342297
618.528945,1000,1309.5022
593.775041,1000,1336.01815
502.531895,1000,1364.173118
59.792996,1000,1392.292639
612.2078,1000,1418.802176
510.074786,1000,1449.094265
432.225443,1000,1490.029642
601.864675,1000,1518.209964
582.671774,1000,1548.964752
459.767769,1000,1577.944655
606.379371,1000,1608.196722
673.705397,1000,1638.404173
681.83547,1000,1666.952492
629.55568,1000,1697.193963
639.879448,1000,1727.41726
658.74114,1000,1755.962795
477.34823,1000,1797.103444
594.197504,1000,1825.657012
555.255166,1000,1855.662769
520.284973,1000,1885.956176
604.727208,1000,1914.913268
544.311036,1000,1945.750458
693.444413,1000,1976.635432
700.147485,1000,2005.618673
546.965142,1000,2036.461459
629.831983,1000,2065.664908
646.061356,1000,2107.611635
671.726952,1000,2138.833952
672.826452,1000,2168.221659
659.781436,1000,2199.275116
684.179159,1000,2230.555238
664.665719,1000,2260.118545
685.7378,1000,2291.752023
673.460578,1000,2321.595272
663.522348,1000,2353.26698
725.85614,1000,2384.614156
677.763119,1000,2425.008219
578.68787,1000,2456.327365
667.666285,1000,2487.699853
646.056389,1000,2517.158379
627.276804,1000,2548.376116
656.208836,1000,2577.808524
681.600271,1000,2609.086944
676.424854,1000,2640.360314
695.215656,1000,2669.994391
699.552011,1000,2701.475975
695.278933,1000,2743.625003
703.061357,1000,2773.040399
730.720595,1000,2804.258133
742.976119,1000,2833.617797
642.369682,1000,2864.893368
777.480893,1000,2896.089856
744.562479,1000,2925.469947
747.037448,1000,2956.66264
662.827593,1000,2987.935614
723.887454,1000,3017.356024
723.486283,1000,3059.873455
803.797263,1000,3089.634269
831.155381,1000,3120.964734
695.673316,1000,3152.163962
690.98876,1000,3181.574796
847.512581,1000,3212.827549
825.468103,1000,3244.093883
824.581576,1000,3273.505077
862.506682,1000,3304.691054
854.000382,1000,3334.063479
947.36257,1000,3376.161234
889.468086,1000,3407.331936
902.229948,1000,3436.932991
868.835928,1000,3468.593554
897.757215,1000,3500.143407
1016.977037,1000,3529.54646
947.284299,1000,3560.677573
1068.385442,1000,3590.064689
1123.590655,1000,3621.243015
953.531133,1000,3652.509024
1057.205825,1000,3692.571562
1140.141238,1000,3723.773807
1145.450213,1000,3755.093097
976.006078,1000,3784.520097
972.812976,1000,3816.014409
1061.284732,1000,3845.765992
1124.677768,1000,3877.466409
1151.971894,1000,3908.640472
1092.028075,1000,3938.074067
1154.111093,1000,3969.229644
1152.216455,1000,4011.120696
1149.27261,1000,4040.507133
1168.907253,1000,4071.711907
1078.285762,1000,4101.108993
1161.650107,1000,4132.334096
1122.800961,1000,4163.534496
1073.732545,1000,4192.977944
1117.945799,1000,4224.522624
1161.992269,1000,4256.234066
1079.167318,1000,4285.610539
1173.375024,1000,4327.459474
1174.309755,1000,4356.827615
1127.169596,1000,4388.048289
1168.809948,1000,4419.306903
1239.883187,1000,4448.671706
1181.781175,1000,4479.854303
1155.382315,1000,4511.097914
